央视频道,#genre#
CCTV2,http://221.13.235.227:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://221.13.235.227:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://221.13.235.227:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://221.13.235.227:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://221.13.235.227:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://221.13.235.227:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
卫视频道,#genre#
河南卫视,http://221.13.235.227:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
其他频道,#genre#
公共,http://221.13.235.227:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
卡酷动画,http://221.13.235.227:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
河南戏曲,http://221.13.235.227:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
都市,http://221.13.235.227:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
